pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Proteoglycans in cancer - Homo sapiens (human),path:hsa05205,42,204,4.827,1.7825746768361816e-14,6.310314356000083e-12,False,"ADK, AK1, ANK1, ANK3, C3, CAMP, CAP2, CAV1, CAV2, CCND1"
Hepatocellular carcinoma - Homo sapiens (human),path:hsa05225,36,170,4.979,5.490509972502827e-13,9.718202651330003e-11,False,"AK1, BAD, C3, CAP2, CCND1, CDKN2A, CTNNB1, DAP, EGFR, F3"
Adherens junction - Homo sapiens (human),path:hsa04520,25,93,6.762,7.765056147235458e-12,8.625455506803229e-10,False,"AK1, BAIAP2, C3, CD33, CDH1, CDS1, CKB, CTNNB1, DAP, EGFR"
Fluid shear stress and atherosclerosis - Homo sapiens (human),path:hsa05418,31,142,5.156,9.746277408817207e-12,8.625455506803229e-10,False,"ADK, AK1, ASS1, BMP2, BMPR1B, C3, CAV1, CAV2, CTNNB1, DAP"
Focal adhesion - Homo sapiens (human),path:hsa04510,37,203,4.128,2.948662391622079e-11,2.087652973268432e-09,False,"ADK, AK1, AK4, ASS1, BAD, C3, CAV1, CAV2, CCND1, COL6A2"
Bacterial invasion of epithelial cells - Homo sapiens (human),path:hsa05100,22,78,7.208,4.9611899197177144e-11,2.9271020526334517e-09,False,"ACTR3B, ADK, AK1, ARPC1A, ASS1, C3, CAV1, CAV2, CDH1, CDS1"
Wnt signaling pathway - Homo sapiens (human),path:hsa04310,33,174,4.322,1.161010128676241e-10,5.755387574694083e-09,True,"AK1, C3, CAMP, CCND1, CKB, CTNNB1, DAP, F12, F3, FOSL1"
PI3K-Akt signaling pathway - Homo sapiens (human),path:hsa04151,51,362,3.057,1.3006525592529e-10,5.755387574694083e-09,True,"ADK, AK1, AMPH, AREG, BAD, C3, CAMP, CAP2, CCND1, CD33"
Human papillomavirus infection - Homo sapiens (human),path:hsa05165,47,333,3.055,6.542932609379764e-10,2.5735534930227067e-08,False,"ADK, AK1, BAD, C3, CAMP, CAP2, CCND1, CD33, CDA, COL6A2"
TNF signaling pathway - Homo sapiens (human),path:hsa04668,25,119,4.884,2.2958037543768027e-09,8.127145290493882e-08,True,"AK1, BCL3, C3, CAMP, CD33, CISH, CKB, CREB3L1, CREB3L4, CSF1"
Hippo signaling pathway - Homo sapiens (human),path:hsa04390,29,157,4.17,2.9256677492224908e-09,9.216479737703318e-08,True,"AMPH, AREG, BMP2, BMPR1B, C3, CCND1, CDH1, CDS1, CTNNB1, F3"
Colorectal cancer - Homo sapiens (human),path:hsa05210,21,87,5.829,3.124230419560447e-09,9.216479737703318e-08,False,"AK1, AMPH, AREG, BAD, C3, CAP2, CCND1, CTNNB1, DAP, EGFR"
Gastric cancer - Homo sapiens (human),path:hsa05226,28,150,4.221,4.28148431669338e-09,1.1658811139303511e-07,False,"AK1, C3, CAP2, CCND1, CD33, CDH1, CDS1, CTNNB1, DAP, EGFR"
Tight junction - Homo sapiens (human),path:hsa04530,30,170,3.946,4.805116702574818e-09,1.2150080805082038e-07,False,"ACTR3B, AMOTL2, ARPC1A, C1S, C3, CAMP, CAV1, CCND1, CKB, CLDN12"
Endocrine resistance - Homo sapiens (human),path:hsa01522,22,99,5.236,6.9580203998194125e-09,1.6420928143573815e-07,False,"ADK, AK1, BAD, C3, CAMP, CAP2, CCND1, CD33, CDKN2A, CPD"
Axon guidance - Homo sapiens (human),path:hsa04360,31,184,3.732,8.431502483997203e-09,1.8654699245843811e-07,False,"ADK, AK1, AK4, BMPR1B, C3, CKB, CXCL1, DAP, EFNA1, EFNA5"
Breast cancer - Homo sapiens (human),path:hsa05224,27,148,4.1,1.3476086833941014e-08,2.806196905420658e-07,False,"AK1, C3, CAP2, CCND1, CD33, CTNNB1, DAP, EGFR, F3, FGF18"
Rap1 signaling pathway - Homo sapiens (human),path:hsa04015,33,212,3.398,2.1197548823474963e-08,4.1688512686167425e-07,True,"ASS1, C3, CAMP, CD33, CDH1, CDS1, CSF1, CTNNB1, DAP, EFNA1"
Thyroid cancer - Homo sapiens (human),path:hsa05216,13,37,9.865,2.4066278584570214e-08,4.4387360265107813e-07,False,"AK1, C3, CAP2, CCND1, CDH1, CDS1, CTNNB1, DAP, F12, F3"
Pathogenic Escherichia coli infection - Homo sapiens (human),path:hsa05130,32,203,3.447,2.5445397579425922e-08,4.4387360265107813e-07,False,"ACTR3B, AGT, AK1, AK4, ARPC1A, BAIAP2, BAIAP2L1, C3, CKB, CLDN12"
Prostate cancer - Homo sapiens (human),path:hsa05215,22,106,4.798,2.633148490303006e-08,4.4387360265107813e-07,False,"BAD, C3, CAMP, CAP2, CCND1, CD33, CREB3L1, CREB3L4, CTNNB1, DAP"
Melanoma - Homo sapiens (human),path:hsa05218,18,73,5.981,2.9013836506415266e-08,4.668590056032274e-07,False,"AK1, BAD, C3, CAP2, CCND1, CD33, CDH1, CDKN2A, CDS1, DAP"
Signaling pathways regulating pluripotency of stem cells - Homo sapiens (human),path:hsa04550,26,144,4.045,3.1087895526957146e-08,4.767632867099046e-07,True,"AK1, ASNS, BMP2, BMPR1B, C3, CD33, CTNNB1, DAP, EGFR, F3"
Biosynthesis of cofactors - Homo sapiens (human),path:hsa01240,27,154,3.905,3.232293469219692e-08,4.767632867099046e-07,False,"ADK, ADSSL1, AK1, AK4, ANK1, ANK3, BCAM, C3, F12, F3"
Insulin resistance - Homo sapiens (human),path:hsa04931,22,109,4.632,4.485438844929424e-08,6.351381404420064e-07,False,"AGT, C3, CAMP, CISH, CREB3L1, CREB3L4, F12, F3, GFPT2, ID1"
Insulin signaling pathway - Homo sapiens (human),path:hsa04910,25,138,4.059,5.325799163027563e-08,7.251280398891374e-07,True,"ACACA, ASNS, BAD, C3, CAMP, CISH, DAP, EGFR, F12, F3"
Pancreatic cancer - Homo sapiens (human),path:hsa05212,18,77,5.574,7.065532794116544e-08,9.263698552286135e-07,False,"AK1, BAD, C3, CAP2, CCND1, CDKN2A, DAP, EGFR, F12, F3"
ErbB signaling pathway - Homo sapiens (human),path:hsa04012,19,86,5.184,8.125358204828397e-08,1.027277430181876e-06,True,"ADK, AK1, AK4, AMPH, AREG, BAD, C3, CAP2, CKB, DAP"
Viral myocarditis - Homo sapiens (human),path:hsa05416,17,70,5.856,8.932685337867759e-08,1.0904036584845472e-06,False,"AGRN, C3, CAV1, CCND1, CDA, CXADR, DAP, F3, HLA-G, ICAM1"
Bladder cancer - Homo sapiens (human),path:hsa05219,13,41,8.454,9.777814700451487e-08,1.1537821346532755e-06,False,"C3, CAP2, CCND1, CD33, CDH1, CDKN2A, CDS1, DAP, EGFR, F3"
MAPK signaling pathway - Homo sapiens (human),path:hsa04010,39,300,2.758,1.754811725251503e-07,2.003881776577523e-06,True,"AK1, AK4, AMPH, AREG, C3, CACNA2D2, CAMP, CAV1, CAV2, CD33"
Endometrial cancer - Homo sapiens (human),path:hsa05213,15,59,6.215,2.6723384323285503e-07,2.9562743907634588e-06,False,"AK1, BAD, C3, CAP2, CCND1, CDH1, CDS1, CTNNB1, DAP, EGFR"
Glioma - Homo sapiens (human),path:hsa05214,17,76,5.259,3.215452200733307e-07,3.4493032698775474e-06,False,"AK1, C3, CAMK1D, CAP2, CCND1, CDKN2A, DAP, EGFR, F3, IGF1"
Acute myeloid leukemia - Homo sapiens (human),path:hsa05221,16,68,5.612,3.4064610210799344e-07,3.5467270631244023e-06,True,"BAD, C3, CCND1, CSF1, CSF2, DAP, EGFR, F3, FLT3, ID1"
Thyroid hormone signaling pathway - Homo sapiens (human),path:hsa04919,22,122,4.027,3.607170339209308e-07,3.6483951430859856e-06,True,"AMPH, BAD, BMP2, C3, CAMP, CCND1, CTNNB1, DAP, F3, MYC"
Mineral absorption - Homo sapiens (human),path:hsa04978,15,61,5.944,4.2799939515238826e-07,4.208660718998484e-06,False,"AGT, AK1, C3, CYB561, LCN2, MET, MT1A, MT1E, MT1F, MT1M"
Cytoskeleton in muscle cells - Homo sapiens (human),path:hsa04820,32,233,2.927,6.505179544093286e-07,6.223874482727091e-06,False,"AGRN, ANK3, C1S, C3, COL6A2, DAP, DSG2, F3, FBLN1, FHOD3"
EGFR tyrosine kinase inhibitor resistance - Homo sapiens (human),path:hsa01521,17,80,4.924,6.997848916977983e-07,6.519048727921596e-06,True,"AK1, BAD, C3, CD33, DAP, EGFR, IGF1, IL6, KDR, MALL"
Purine metabolism - Homo sapiens (human),path:hsa00230,22,128,3.797,8.48785916025854e-07,7.704364468542367e-06,False,"ADK, ADSSL1, AK1, AK4, BAD, C3, CAMP, ENPP3, F3, GARS"
Human cytomegalovirus infection - Homo sapiens (human),path:hsa05163,31,227,2.906,1.0966397999582633e-06,9.70526222963063e-06,False,"ADK, AK1, AKAP1, ASS1, C3, CAMP, CAP2, CCND1, CDA, CDKN2A"
Small cell lung cancer - Homo sapiens (human),path:hsa05222,18,93,4.381,1.417602143490987e-06,1.2239784360873399e-05,False,"ADK, AK1, C3, CAP2, CCND1, F3, ID1, ITGA2, ITGA3, LAMA5"
AMPK signaling pathway - Homo sapiens (human),path:hsa04152,21,122,3.801,1.4613028585721243e-06,1.231669552225076e-05,True,"ACACA, AK1, C3, CAMP, CCND1, CREB3L1, CREB3L4, DAP, F3, FASN"
Amoebiasis - Homo sapiens (human),path:hsa05146,19,103,4.131,1.56384511827843e-06,1.2874445857454981e-05,False,"ADK, AK1, C3, CAMP, CSF2, CXCL1, CXCL2, F3, ID1, IL1R1"
Regulation of actin cytoskeleton - Homo sapiens (human),path:hsa04810,31,232,2.833,1.7568416423395608e-06,1.4134589577004648e-05,False,"ACTR3B, ADK, AK1, AK4, ARPC1A, ASS1, BAIAP2, C3, CD33, CXCL1"
Alcoholic liver disease - Homo sapiens (human),path:hsa04936,23,144,3.478,1.8107914088374315e-06,1.4244892416187795e-05,False,"ACACA, AK1, AK4, ALDH7A1, BAD, C3, CCND1, CTNNB1, CXCL1, CXCL2"
Chronic myeloid leukemia - Homo sapiens (human),path:hsa05220,16,77,4.782,2.028577073815395e-06,1.5611223568057605e-05,True,"AK1, BAD, C3, CAP2, CCND1, CDKN2A, DAP, EGFR, F3, ID1"
Aldosterone-regulated sodium reabsorption - Homo sapiens (human),path:hsa04960,11,38,7.404,2.631571571232687e-06,1.982077311098662e-05,False,"C3, DAP, HSD11B2, IGF1, NEDD4L, PI3, PRKCA, SCNN1A, SCNN1B, SFN"
Ras signaling pathway - Homo sapiens (human),path:hsa04014,31,238,2.75,3.0263406512275896e-06,2.2319262302803475e-05,True,"AK1, AK4, BAD, C3, CAMP, CD33, CSF1, DAP, EFNA1, EFNA5"
Yersinia infection - Homo sapiens (human),path:hsa05135,22,138,3.468,3.1164226134418654e-06,2.2514563370580006e-05,False,"ACTR3B, ADK, AGT, AK1, AK4, ARPC1A, ASS1, BAIAP2, C3, CAP2"
ECM-receptor interaction - Homo sapiens (human),path:hsa04512,17,89,4.306,3.3425118300138593e-06,2.350854152897893e-05,True,"AGRN, C3, CD44, COL6A2, CPD, ITGA10, ITGA2, ITGA3, LAMA5, LAMB2"
Central carbon metabolism in cancer - Homo sapiens (human),path:hsa05230,15,71,4.88,3.3868237795986595e-06,2.350854152897893e-05,False,"C3, CD33, DAP, EGFR, F12, F3, FLT3, MET, MYC, PAM"
Hypertrophic cardiomyopathy - Homo sapiens (human),path:hsa05410,18,99,4.055,3.631312984667683e-06,2.4361157446614387e-05,False,"AGRN, AGT, C1S, C3, CACNA2D2, CAV1, DAP, IGF1, IL6, ITGA10"
Endocytosis - Homo sapiens (human),path:hsa04144,32,252,2.672,3.6472919340976345e-06,2.4361157446614387e-05,False,"ACTR3B, AGAP1, AMPH, AP2B1, ARPC1A, C3, CAP2, CAV1, CAV2, CD33"
Type II diabetes mellitus - Homo sapiens (human),path:hsa04930,12,47,6.234,3.991833413170662e-06,2.6168685708563228e-05,False,"C3, CAV1, CAV2, CISH, DAP, F12, F3, MYC, PAM, PI3"
AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human),path:hsa04933,18,101,3.957,4.878737894903868e-06,3.140133117810853e-05,True,"AGT, C3, CCND1, DAP, F12, F3, ICAM1, ID1, IL6, MALL"
"Growth hormone synthesis, secretion and action - Homo sapiens (human)",path:hsa04935,20,122,3.581,5.599829260973751e-06,3.5398920685441205e-05,False,"ADK, AK1, ASS1, C3, CAMP, CAV1, CISH, CREB3L1, CREB3L4, DAP"
Nucleotide metabolism - Homo sapiens (human),path:hsa01232,16,85,4.226,7.859337033546275e-06,4.881061947149792e-05,False,"ADK, ADSSL1, AK1, AK4, C3, CDA, ENPP3, F3, IL6, IMPDH2"
Cellular senescence - Homo sapiens (human),path:hsa04218,23,157,3.139,8.099147034131152e-06,4.943272500142117e-05,False,"AK1, C3, CAP2, CAV1, CCND1, CDA, CDKN2A, CDS1, DAP, E2F5"
IL-17 signaling pathway - Homo sapiens (human),path:hsa04657,17,95,3.974,8.399392521877064e-06,5.0396355131262386e-05,True,"AK1, C3, CKB, CSF2, CSF3, CXCL1, CXCL2, DAP, F12, F3"
Dilated cardiomyopathy - Homo sapiens (human),path:hsa05414,18,105,3.774,8.58866898736855e-06,5.0673147025474444e-05,False,"AGRN, AGT, C1S, C3, CACNA2D2, CAMP, CAV1, DAP, IGF1, ITGA10"
Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),path:hsa05412,16,86,4.165,9.190111269144198e-06,5.33327768733942e-05,False,"AGRN, C3, CACNA2D2, CAV1, CTNNB1, DAP, DSG2, F3, ITGA10, ITGA2"
Leukocyte transendothelial migration - Homo sapiens (human),path:hsa04670,19,116,3.575,9.659906420471334e-06,5.5154949562046005e-05,False,"ADK, AK1, ASS1, C3, CAMP, CD99L2, CLDN12, CLDN15, CLDN3, CLDN4"
Hepatitis C - Homo sapiens (human),path:hsa05160,23,159,3.092,1.002552508966202e-05,5.633390288476754e-05,False,"AK1, AK4, BAD, C3, CAP2, CCND1, CISH, CLDN12, CLDN15, CLDN3"
Shigellosis - Homo sapiens (human),path:hsa05131,31,253,2.562,1.0710899674597898e-05,5.849964536250763e-05,False,"ACTR3B, ADK, AGT, AK1, ARPC1A, ARPIN, ASS1, BNIP3, C3, CD44"
