TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
ESR1,69,3.801,4.1727138235491206e-18,3.838896717665191e-16,0.131,"RHOBTB3, FOSL1, KIAA1217, F12, LRP5, FOXK1, KRT19, TACC2, PTPRG, BCL3"
HNF4A,62,3.185,2.1183383395625472e-13,9.744356361987717e-12,0.113,"RHOBTB3, ASS1, KIAA1217, NR2F6, MAOA, LRP5, TACC2, GPRC5C, BCL3, CNKSR3"
ZNF263,40,3.582,1.3105427670631905e-10,4.0189978189937845e-09,0.127,"ASS1, ANK1, PFKP, TACC2, EPHB4, AGAP1, SPEG, SMARCD3, COL18A1, NFIC"
EGR1,55,2.713,9.735519059613728e-10,2.2391693837111575e-08,0.098,"FOSL1, CRIP2, AREG, TLE2, IL6, BTBD2, FOXK1, CRABP2, FSCN1, NFIB"
FOXA1,50,2.742,4.459728166373693e-09,8.205899826127595e-08,0.1,"KIAA1217, SYT1, TACC2, EHF, NFIB, AGAP1, MUC4, SMYD3, TFPI, FAM13A"
TFAP2C,48,2.751,8.787313428947422e-09,1.3473880591052715e-07,0.1,"KIAA1217, LRP5, FOXK1, TACC2, CRABP2, AGAP1, CCDC57, EFHC1, SMYD3, STXBP1"
SP1,38,3.069,1.6011328411528988e-08,2.1043460198009526e-07,0.111,"FOSL1, AREG, LRP5, KRT19, AGT, CD44, MUC4, KRT18, COL18A1, UGDH"
GATA3,47,2.647,2.7418108755029396e-08,3.1530825068283803e-07,0.097,"RHOBTB3, KIAA1217, SYT1, KCTD3, EHF, NFIB, AGAP1, EFHC1, LAMC1, SMYD3"
CEBPA,53,2.469,4.050312311907017e-08,3.94899671317228e-07,0.091,"RHOBTB3, SMYD2, KIAA1217, LGR4, ICAM1, IL6, TACC2, PTPRG, ATG10, AK4"
FOS,44,2.729,4.292387731709e-08,3.94899671317228e-07,0.1,"FOSL1, KIAA1217, ANK1, IL6, TACC2, AGAP1, NFIB, CD44, EFHC1, LAMC1"
AR,23,4.193,7.601471037590489e-08,6.357593958712045e-07,0.146,"KIAA1217, NFIB, THRA, KRT18, PEX6, FAM13A, NME7, ELF3, LIFR, KRT8"
TP53,46,2.49,1.9851797293472898e-07,1.5219711258329222e-06,0.092,"KIAA1217, FOXK1, EPHB4, BCL3, AGAP1, EPCAM, CCDC57, SMYD3, GPC1, DDR1"
GATA2,43,2.554,3.5736162948961363e-07,2.5290207625418813e-06,0.094,"KIAA1217, SYT1, TACC2, EHF, NFIB, AGAP1, EFHC1, SMYD3, TGFB2, FAM13A"
STAT3,15,5.132,1.4761485225420731e-06,9.70040457670505e-06,0.174,"EGFR, MYC, ICAM1, IL6, ROR1, CISH, IGF1, SAA1, CCND1, MUC4"
NFKB1,22,3.331,4.3885268118284825e-06,2.6916297779214692e-05,0.12,"ICAM1, IL6, AGT, BCL3, FSCN1, CXCL2, CD44, TNC, ELF3, CXCL1"
KLF5,5,40.196,5.133346090145877e-06,2.9516740018338793e-05,0.625,"FOXQ1, FASN, JUP, LAMB3, FGFBP1"
TCF7L2,7,11.272,1.6139345877204704e-05,8.734234239428429e-05,0.318,"MYC, CTNNB1, FGF18, CCND1, CD44, VIM, SNAI2"
RELA,19,3.186,3.2584323015529924e-05,0.0001665420954127085,0.116,"ICAM1, IL6, AGT, BCL3, CXCL2, CD44, TNC, ELF3, CXCL1, CSF1"
SOX2,25,2.507,9.92608838408228e-05,0.0004806316480713525,0.093,"SYT1, ETV1, MAP1B, AGAP1, PAM, FAM13A, FHOD3, BMPR1B, IMMP2L, MYO10"
JUN,15,3.248,0.0001724042927983067,0.0007930597468722108,0.118,"CSF2, FOSL1, EGFR, MYC, NQO1, ICAM1, IL6, F3, IGF1, CCND1"
CTCF,44,1.909,0.00020713697222290786,0.0009074572116432154,0.072,"SMYD2, KIAA1217, LRP5, FOXK1, TACC2, PTPRG, AGAP1, CREB3L1, EFHC1, SPEG"
MYC,32,2.135,0.00023109070818786047,0.0009663793251492346,0.08,"ASS1, FOSL1, MGST1, ICAM1, BCL3, CXCL2, TGFB2, GOLPH3, PAICS, NTHL1"
SMAD3,7,5.28,0.0008041619559228082,0.003216647823691233,0.179,"KIAA1217, GPRC5A, MYC, CDH1, TNC, FSTL3, MET"
REL,5,8.035,0.0009513163935534586,0.003646712841954925,0.25,"CSF2, ICAM1, IL6, F3, EPHB2"
PRDM14,18,2.481,0.0011808727879223978,0.004345611859554424,0.093,"ASS1, PTPRU, TBC1D16, RPS6KA2, TACC2, GPRC5C, CDC42EP4, AGAP1, CCDC57, SOX9"
HIC1,3,18.051,0.001978796940842607,0.0070018968675969176,0.429,"EPHA2, SIRT1, FGFBP1"
E2F1,36,1.799,0.002107672301252293,0.007181698211674479,0.069,"TBC1D16, CDCA7, SEZ6L2, ATG10, NFIB, MUC4, TGFB2, ECT2, SOX12, RAB40C"
PGR,4,8.758,0.0024388192338663513,0.00801326319698944,0.267,"HLTF, EGFR, MYC, CCND1"
TFAP2A,9,3.344,0.0027163536902313073,0.008617397913837251,0.122,"EGFR, MYC, PRKCA, SMPD1, CRABP2, JUP, CDH1, PPL, POLD2"
TCF4,3,14.44,0.003072141264498167,0.009421233211127712,0.375,"CCND1, VIM, CD44"
RARA,7,4.021,0.0031779510151326708,0.009431338496522765,0.143,"MYC, GPRC5A, ICAM1, PRKCA, SFTPB, CRABP2, MACROD1"
ZEB2,2,48.094,0.004667760244292482,0.013419810702340886,0.667,"CDH1, VIM"
ETS2,5,4.634,0.007248783080295241,0.020208728587489764,0.161,"CSF2, FOSL1, MYC, ICAM1, CDKN2A"
TAL1,24,1.837,0.007516234950314073,0.020338047512614553,0.07,"KIAA1217, CNKSR3, NFIB, SMYD3, TFPI, MGLL, PAM, FAM13A, NME7, ERGIC1"
ERG,4,5.666,0.008837260437846384,0.023229370293767634,0.19,"VIM, TMPRSS2, ICAM1, ZBTB16"
SP3,8,2.797,0.01174104938019189,0.030004903971601497,0.104,"HOXB7, MYC, CDKN2A, ITGA2, CCND1, KDR, NKX2-1, TCN2"
NFIC,5,4.015,0.012148862894881395,0.030207983414299682,0.143,"MYC, SLC34A2, HSD11B2, COL18A1, POLD2"
KLF4,3,7.219,0.013509542525115024,0.032707313481857424,0.231,"CDH1, CCND1, PFKP"
LEF1,4,4.815,0.014272957962336092,0.033669541859869756,0.167,"SNAI2, MYC, CCND1, CTNNB1"
SMAD4,5,3.764,0.015282051644936021,0.03514871878335285,0.135,"ID1, MYC, TNC, FSTL3, MET"
FOSL1,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"NQO1, CDKN2A, IL6"
CEBPD,3,6.562,0.01669036830654391,0.03561552916917268,0.214,"C3, CCND1, IL6"
ETS1,32,1.589,0.01697476926340543,0.03561552916917268,0.061,"FOSL1, RAI14, LRP5, PFKP, FOXK1, BCL3, NFIB, EFHC1, TNC, NFIC"
FOXO3,5,3.65,0.01703351395047389,0.03561552916917268,0.132,"ID1, FBXO32, CCND1, SIRT1, KLF4"
ZEB1,3,6.015,0.020253255574713306,0.04043578612840728,0.2,"CDH1, SLC25A10, PKP3"
YBX1,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"EGFR, AGT"
JUNB,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"EGFR, CDKN2A"
NR1H3,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"FASN, SREBF1"
NR1H2,2,12.022,0.02153645130752127,0.04043578612840728,0.333,"FASN, SREBF1"
