	FH_5897_2	FH_6333_2	GSM3396161	GSM3396162	GSM3396163	GSM3396164	GSM3396165	GSM3396166	GSM3396167	GSM3396168	GSM3396169	GSM3396170	GSM3396171	GSM3396172	GSM3396173	GSM3396174	GSM3396175	GSM3396176	GSM3396177	GSM3396178	GSM3396179	GSM3396180	GSM3396181	GSM3396182	GSM3396183	GSM3396184	GSM3396185	GSM3516666_NORMAL	GSM3516665_PRIMARY	GSM3516667_PRIMARY	GSM3516664_METASTASIS	GSM3516668_METASTASIS
Cornified envelope formation - Homo sapiens (human)	1.621678876699721	2.1228350261140565	0.07611932651638581	0.11025099735326879	-0.2451617241155488	-0.8142920203309244	-0.2611478524797641	-0.4576240096242167	-0.3811094673456317	0.08389492642581652	0.3022842319977272	-0.6110033635945393	-0.2689847591283913	0.011030853096274882	-0.7114318206930152	-0.13048076427109093	0.5172776002975585	-0.8426692107948577	-0.43553752510627575	-0.9164562559891483	-0.9903920558083549	-1.2466541369930133	-0.9626658400098306	-1.5619270430349685	-0.32332070887220443	-0.29158978025359045	-0.537588040401868	1.8953547436183835	2.084265839033212	0.7582231104979382	0.2253101542301778	2.181510692966715
Basal transcription factors - Homo sapiens (human)	1.7565315575065295	0.40877691777054553	0.29063256038665386	0.3320164804888657	-1.590240478897064	-0.15263810879636036	-1.2201526335342032	-2.350763500365947	-0.06149775609325175	-1.8679195810705902	-1.0009275866534417	-1.223560398430429	0.06362010136571594	0.46824780160201557	-1.4441060874142388	0.7135528113323749	0.7214947235666542	-0.17789272898086378	-1.7147708442346126	-0.9601102967036134	0.12215398701201928	0.44843685325189236	0.3269643365309959	0.19820091382863797	-0.5056762774325133	-0.16057818976657506	-1.1539569805619125	1.4283145262056933	1.2667441104237658	0.4187354956376311	4.556650086793816	2.063718185231812
Ribosome biogenesis in eukaryotes - Homo sapiens (human)	3.4295352552955998	-1.504135340616671	0.4968413365293781	0.8879878101100094	-0.6994331189467211	-0.2365313777517833	-0.8209610536263489	-2.1928815657994574	-0.005272263489939197	-1.859355285894999	-1.3348992713496124	0.023273097636152686	-0.11215315123133907	-0.387332910736345	-0.9443288091989261	-0.4736912578891006	-0.007255402510658138	0.22874676890125595	-1.4593994840151219	-1.0221813322471658	0.27052568901957086	0.864194696713923	0.7608213812379715	0.7406028866816535	-0.1591510324619399	0.2648312066507634	-0.018507985368658556	-0.018464760325535647	1.0604773499069806	-0.4524327904446528	4.613835681481902	0.06669503373981518
Cell cycle - Homo sapiens (human)	0.8919192711779462	-1.4586716633690946	0.1127834008206647	0.10401717038566378	-2.129043625462767	0.24824741710366338	-1.7223645365635443	-1.7490092961608914	-0.10914004526758378	-1.992740828549714	-1.194040683537241	-0.5609316869593325	-0.5577277333330035	-0.06825573008405413	-0.8912942085394527	0.13590649004384675	0.09912618516043212	0.5829817013078524	-0.40970768709228067	-0.03335562536629244	0.5594168033771119	1.824420204333767	1.1071881386774063	1.6774623627178746	-0.2351314951943699	-0.5602936655089528	0.16291266573211383	-0.8731373901650239	0.16752255939223865	0.5309253191422759	5.668430752242736	0.6715854595380047
Nucleotide excision repair - Homo sapiens (human)	1.8509851842594174	-1.1557812279116282	0.6930234832766203	0.6526399507527284	-1.983843680402263	0.3021191701074193	-1.424211607601093	-1.970204507707948	-0.15495698488498108	-1.7652920466278563	-1.079624172377364	-0.6372110293088276	-0.8914453371223413	0.01570819291678972	-1.1693659249455377	-0.05110409808828692	0.4910425177277282	0.5378248894678305	-0.2610059592146162	-0.48567723141549773	0.4648835727782132	1.2779398586328166	1.0975570928921952	1.1205367598993767	-0.1727009809338503	-0.39012511421364826	0.17233312293373484	-1.0074244367314706	-0.30725118851870803	-0.7857010815075774	5.812829347975137	1.203503465893489
MicroRNAs in cancer - Homo sapiens (human)	1.9769465910959432	0.8864712934853435	0.8513188246677913	0.047183705411230244	-1.707971829600459	-1.6238741965461299	-1.8323427906340102	-1.7195285526524804	0.4980018260467426	-2.531436719483827	-0.07076264317997656	-0.735317910135569	0.3703749839044022	1.1816555120905323	-1.2143996768208554	1.2145113564705925	2.437243684224432	-1.3884585129126734	-0.463499999682883	-0.161073788490071	-0.6897568607495713	0.11910947857055505	-0.55145618626694	0.03691250653094915	-0.35381364935813436	0.4139796036070041	0.7045199580865733	2.6930174709465318	1.1775592575326892	1.4135302208505474	-1.9950554139303358	1.0164124569220574
Proteoglycans in cancer - Homo sapiens (human)	1.0263715700341434	-2.9080488213844964	0.11051017154080062	0.2974025674676217	-1.3324239510404987	0.6000499943936186	-1.56162094483669	-1.8458202540550785	-0.01840347651551981	-1.671158865930517	-1.6389114940838356	0.299930513013807	-0.6369800007263039	-0.712844310409324	-0.4514261964000887	-0.5774994741101287	-0.33207491153969865	0.6360416270886607	-0.6810054690116635	-0.12293157054760757	0.6354473749735368	2.519411046875478	1.1836335351472453	1.9524978444174683	-0.13176906049266449	-0.1212805781199173	0.5168879491751133	-1.3433097312260853	0.645096970777547	0.10676867111787018	5.572408396342793	-0.014949121935585192
Purine metabolism - Homo sapiens (human)	2.728850664041723	-0.20441117303518397	2.052591959572234	1.5620232477889764	-0.17232501676999404	-0.24098679219775987	-0.19951486145685446	-1.0220535016350702	0.06487690387562664	-0.1323399268670252	-1.0836430075639656	1.1323218986312231	-1.505535472129832	-0.1122689769492461	0.49946570134513135	-0.7796746319022788	-0.39710635988574045	1.8762166275268413	-0.8114162038049565	-1.0476174686839823	0.16978445162907657	-1.0541900820458887	0.5609853058650652	-0.9802640959736578	0.44389722503469886	0.6816800931306122	0.09655838290312617	-2.836106989797307	-1.0064541862564107	-1.4166713602678542	3.00994761290028	0.12338003297839392
ATP-dependent chromatin remodeling - Homo sapiens (human)	-1.2146799858622206	-2.070197029166175	0.9222449456291526	1.1087603949814533	-0.9618586058937983	0.6982272013509456	-0.3866363711595037	-1.3263365300932595	-0.6182189303842285	-1.8480554378308838	-1.0976327841682623	-0.10059749277683566	-0.41947081918510626	0.10786238154631159	-0.909364918625081	-0.4662349864864463	-0.24906996463140713	0.589896321099126	-0.46153804479959426	-0.9471489113632844	0.6187746176658713	1.0238593595000416	0.5996124825841346	0.6622477804334872	-0.1980704112725738	0.3289052306286269	0.26161749821668173	0.45624489727524575	1.0099686635164267	-0.4069823112995146	4.469957301775052	0.8239144587956172
PI3K-Akt signaling pathway - Homo sapiens (human)	0.019835004338000648	-2.342013271600303	0.14791316266815785	-0.24920169900406988	-1.4911976621766547	0.5147116629773333	-1.3412813143921876	-1.0969077057792	-0.04279528138462985	-1.6907175845671631	-1.0235603864472311	0.24553664790897092	-0.42689999363974124	-0.2525970703576885	-0.2535301020611545	-0.3240211101327571	-0.30898287293003307	0.6447719220030633	-0.20976239425319185	0.21130188131713556	0.6274150842815492	2.1657000448915085	0.9627376440107879	1.8752109698737551	-0.10488863118799666	-0.3218138429227304	0.6986418150047596	-1.450298058061542	-0.10257297082280832	0.7778896477669937	4.518982138863417	-0.3776056741843491
