pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Nucleotide excision repair - Homo sapiens (human),path:hsa03420,3,63,35.019,0.00013232105672834513,0.014158353069932931,False,"CDK7, POLD2, RAD1"
MicroRNAs in cancer - Homo sapiens (human),path:hsa05206,4,320,9.082,0.0015314893502508787,0.030380885090281244,False,"MCL1, MYC, RAD1, ZEB2"
Thyroid cancer - Homo sapiens (human),path:hsa05216,2,37,38.643,0.0015509147584344956,0.030380885090281244,False,"MYC, RAD1"
One carbon pool by folate - Homo sapiens (human),path:hsa00670,2,39,36.55,0.0017221881728399396,0.030380885090281244,False,"AHCY, GCSH"
Bladder cancer - Homo sapiens (human),path:hsa05219,2,41,34.672,0.0019020638297973498,0.030380885090281244,False,"MYC, RAD1"
Cell cycle - Homo sapiens (human),path:hsa04110,3,158,13.487,0.0019426291375162195,0.030380885090281244,False,"CDK7, MYC, RAD1"
Basal transcription factors - Homo sapiens (human),path:hsa03022,2,44,32.19,0.0021878921201392287,0.030380885090281244,False,"CDK7, TAF10"
JAK-STAT signaling pathway - Homo sapiens (human),path:hsa04630,3,168,12.663,0.00231330916981851,0.030380885090281244,True,"MCL1, MYC, RAD1"
Wnt signaling pathway - Homo sapiens (human),path:hsa04310,3,174,12.215,0.002555401549649824,0.030380885090281244,True,"MYC, RAD1, RUVBL1"
Endometrial cancer - Homo sapiens (human),path:hsa05213,2,59,23.701,0.0038994860529367346,0.038903633381003264,False,"MYC, RAD1"
Proteoglycans in cancer - Homo sapiens (human),path:hsa05205,3,204,10.375,0.003999438945710616,0.038903633381003264,False,"DROSHA, MYC, RAD1"
Acute myeloid leukemia - Homo sapiens (human),path:hsa05221,2,68,20.459,0.0051462229713743705,0.04588715482808814,True,"MYC, RAD1"
Glioma - Homo sapiens (human),path:hsa05214,2,76,18.239,0.0063882879666626955,0.046739302255370166,False,"MYC, RAD1"
