TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
E2F4,5,9.728,0.000318028308392949,0.006042537859466032,0.01,"DROSHA, MYC, POLD2, NUP155, PSMG3"
NFIC,2,53.976,0.0008081251365397786,0.007677188797127897,0.057,"MYC, POLD2"
MYC,4,9.596,0.001249591800181247,0.007914081401147898,0.01,"NPM1, NUP155, PAICS, POLD2"
TFAP2A,2,24.7,0.003563493989325401,0.016926596449295655,0.027,"MYC, POLD2"
STAT3,2,21.162,0.004779310209782052,0.0181613787971718,0.023,"MCL1, MYC"
SP1,3,8.049,0.00790042768074868,0.025018020989037486,0.009,"MCL1, MYC, IMPDH2"
JUN,2,14.197,0.010148701490524903,0.027546475474281882,0.016,"MYC, POLD2"
AR,2,11.435,0.01519205054024346,0.03482468763485056,0.013,"MYC, KRT8"
RELA,2,10.938,0.01649590466913974,0.03482468763485056,0.012,"MCL1, MYC"
HIF1A,2,9.416,0.021738111174155954,0.04130241123089631,0.011,"MCL1, NPM1"
HNF4A,3,4.961,0.02768659260622823,0.04782229631984876,0.005,"AHCY, MYC, KRT8"
STAT1,3,3.753,0.054501676941309495,0.08629432182374004,0.004,"MCL1, MYC, ZEB2"
GATA2,2,3.84,0.10416878044748035,0.13897870915583638,0.004,"MYC, ZEB2"
TFAP2C,2,3.66,0.11262281158824464,0.13897870915583638,0.004,"MYC, KRT8"
TP53,2,3.496,0.12125415551127351,0.13897870915583638,0.004,"MYC, KRT8"
ETS1,2,3.365,0.12884025911994837,0.13897870915583638,0.004,"MCL1, MYC"
E2F1,2,3.345,0.13004860120937595,0.13897870915583638,0.004,"ECT2, MYC"
ESR1,2,3.319,0.1316640402528976,0.13897870915583638,0.004,"MYC, KRT8"
EGR1,2,3.131,0.1443424767095613,0.1443424767095613,0.004,"MYC, IMPDH2"
