gene,degree_centrality,betweenness
C3,0.2904238618524333,0.22993766086939732
F3,0.25588697017268447,0.15061824223069584
DAP,0.21036106750392466,0.07520843634460145
MET,0.17425431711145997,0.09701496947684027
PI3,0.163265306122449,0.025317115095931327
AK1,0.15698587127158556,0.04056383712144083
ID1,0.13971742543171115,0.028209622758763327
F12,0.13657770800627944,0.032361257726150734
PAM,0.11930926216640503,0.02932525288800692
EGFR,0.10832025117739404,0.011882655082847577
MYC,0.10361067503924648,0.012926900560885373
MALL,0.10204081632653061,0.019392328929430436
CAMP,0.09419152276295134,0.014979105319574635
PRKCA,0.08320251177394035,0.009483753330185994
IL6,0.07849293563579278,0.007269835843580374
CAP2,0.07535321821036108,0.0064030127046484165
RAD1,0.07535321821036108,0.00543037291191862
BAD,0.07378335949764521,0.009802671208787228
CCND1,0.07378335949764521,0.005242163448174071
CKB,0.059654631083202514,0.008759924509222201
