TF,n_targets,enrichment,p_value,p_adj_bh,fraction_of_targets,top_targets
ESR1,69,3.801,4.1727138235491206e-18,3.838896717665191e-16,0.131,"FOXK1, MACROD1, NOL3, BCL3, LLGL2, KIAA1217, KRT19, SMYD3, IGF1, KCNK1"
HNF4A,62,3.185,2.1183383395625472e-13,9.744356361987717e-12,0.113,"FAM13A, BCL3, FERMT2, EFHC1, ASS1, KIAA1217, ALDH1A1, CAMK2N1, CALD1, GPR39"
ZNF263,40,3.582,1.3105427670631905e-10,4.0189978189937845e-09,0.127,"ASS1, SMARCD3, ANK1, SLC12A7, WNT4, BAIAP2, RASGEF1A, SORCS2, ERGIC1, ABCA7"
EGR1,55,2.713,9.735519059613728e-10,2.2391693837111575e-08,0.098,"PTGES, FOXK1, FGFRL1, RAB40C, FAM13A, BTBD2, SOX12, TLE2, CD44, CPNE7"
FOXA1,50,2.742,4.459728166373693e-09,8.205899826127595e-08,0.1,"FAM13A, FERMT2, KIAA1217, GULP1, SMYD3, CALD1, SYT1, SSBP2, MET, RASEF"
TFAP2C,48,2.751,8.787313428947422e-09,1.3473880591052715e-07,0.1,"FOXK1, LLGL2, GALNT14, EFHC1, KIAA1217, SMYD3, SPTB, BAIAP2, SORCS2, KRT8"
SP1,38,3.069,1.6011328411528988e-08,2.1043460198009526e-07,0.111,"MACROD1, CD44, KRT19, JUP, MET, VIM, CAV1, COL18A1, HLA-G, TCN2"
GATA3,47,2.647,2.7418108755029396e-08,3.1530825068283803e-07,0.097,"FAM13A, FERMT2, EFHC1, PTPRK, KIAA1217, GULP1, SMYD3, KCNK1, SYT1, RHOBTB3"
CEBPA,53,2.469,4.050312311907017e-08,3.94899671317228e-07,0.091,"ENPP3, FAM13A, ID1, FERMT2, EFHC1, KIAA1217, ALDH1A1, CD44, SMYD3, IGF1"
FOS,44,2.729,4.292387731709e-08,3.94899671317228e-07,0.1,"FAM13A, EFHC1, ANK1, KIAA1217, CD44, SMYD3, KCNK1, MET, TMEM245, ERGIC1"
AR,23,4.193,7.601471037590489e-08,6.357593958712045e-07,0.146,"FAM13A, SCNN1A, KIAA1217, KRT8, LIFR, MUC1, PEX6, NFIB, PMEPA1, SPDEF"
TP53,46,2.49,1.9851797293472898e-07,1.5219711258329222e-06,0.092,"FOXK1, DDR1, BCL3, STEAP3, KIAA1217, EPCAM, SMYD3, CALD1, GPC1, SORCS2"
