gene,degree_centrality,betweenness
MYC,0.5494505494505495,0.4358160358160359
RAD1,0.46153846153846156,0.3488807488807489
POLD2,0.05494505494505495,0.07374847374847375
GCSH,0.05494505494505495,0.004395604395604396
MCL1,0.03296703296703297,0.000407000407000407
CDK7,0.03296703296703297,0.03882783882783884
IMPDH2,0.03296703296703297,0.001221001221001221
NUP155,0.02197802197802198,0.018803418803418803
RUVBL1,0.02197802197802198,0.03711843711843712
AHCY,0.02197802197802198,0.0014652014652014652
KRT8,0.01098901098901099,0.0
DROSHA,0.01098901098901099,0.0
ZEB2,0.01098901098901099,0.0
MRGBP,0.01098901098901099,0.0
TAF10,0.01098901098901099,0.0
PAICS,0.01098901098901099,0.0
