pathway,pathway_id,n_genes,pathway_size,odds_ratio,p_value,p_adj_bh,is_signaling,genes
Nucleotide excision repair - Homo sapiens (human),path:hsa03420,3,63,45.544,6.123790042078113e-05,0.006552455345023581,False,"CDK7, POLD2, RAD1"
MicroRNAs in cancer - Homo sapiens (human),path:hsa05206,4,320,11.849,0.0005821499723810223,0.015558090279956199,False,"MCL1, MYC, RAD1, ZEB2"
Cell cycle - Homo sapiens (human),path:hsa04110,3,158,17.562,0.0009201511706898635,0.015558090279956199,False,"CDK7, MYC, RAD1"
Thyroid cancer - Homo sapiens (human),path:hsa05216,2,37,50.243,0.000926173778021237,0.015558090279956199,False,"MYC, RAD1"
One carbon pool by folate - Homo sapiens (human),path:hsa00670,2,39,47.523,0.0010289181272863884,0.015558090279956199,False,"AHCY, GCSH"
JAK-STAT signaling pathway - Homo sapiens (human),path:hsa04630,3,168,16.491,0.0010983997813329418,0.015558090279956199,True,"MCL1, MYC, RAD1"
Bladder cancer - Homo sapiens (human),path:hsa05219,2,41,45.082,0.001136896442402488,0.015558090279956199,False,"MYC, RAD1"
Wnt signaling pathway - Homo sapiens (human),path:hsa04310,3,174,15.908,0.0012151225368555406,0.015558090279956199,True,"MYC, RAD1, RUVBL1"
Basal transcription factors - Homo sapiens (human),path:hsa03022,2,44,41.857,0.001308624416071082,0.015558090279956199,False,"CDK7, TAF10"
Proteoglycans in cancer - Homo sapiens (human),path:hsa05205,3,204,13.517,0.0019156984170085496,0.02049797306199148,False,"DROSHA, MYC, RAD1"
Endometrial cancer - Homo sapiens (human),path:hsa05213,2,59,30.823,0.002340242877846544,0.022764180720870927,False,"MYC, RAD1"
Acute myeloid leukemia - Homo sapiens (human),path:hsa05221,2,68,26.61,0.003094704573555517,0.027594449114203362,True,"MYC, RAD1"
Glioma - Homo sapiens (human),path:hsa05214,2,76,23.726,0.0038485190138316957,0.02816362980655409,False,"MYC, RAD1"
Pancreatic cancer - Homo sapiens (human),path:hsa05212,2,77,23.409,0.003948172402787956,0.02816362980655409,False,"MYC, RAD1"
Chronic myeloid leukemia - Homo sapiens (human),path:hsa05220,2,77,23.409,0.003948172402787956,0.02816362980655409,True,"MYC, RAD1"
Colorectal cancer - Homo sapiens (human),path:hsa05210,2,87,20.646,0.005010035398317595,0.03350461172624892,False,"MYC, RAD1"
Small cell lung cancer - Homo sapiens (human),path:hsa05222,2,93,19.28,0.005703398191861575,0.03589785920759933,False,"MYC, RAD1"
Endocrine resistance - Homo sapiens (human),path:hsa01522,2,99,18.083,0.006438205030931243,0.0382715521283135,False,"MYC, RAD1"
Prostate cancer - Homo sapiens (human),path:hsa05215,2,106,16.861,0.007347062704647453,0.04137556365248829,False,"MYC, RAD1"
ATP-dependent chromatin remodeling - Homo sapiens (human),path:hsa03082,2,117,15.242,0.008885338451022684,0.04479205962813104,False,"MRGBP, RUVBL1"
PI3K-Akt signaling pathway - Homo sapiens (human),path:hsa04151,3,362,7.519,0.009471865457399746,0.04479205962813104,True,"MCL1, MYC, RAD1"
AMPK signaling pathway - Homo sapiens (human),path:hsa04152,2,122,14.604,0.009628199733149663,0.04479205962813104,True,"MYC, RAD1"
Thyroid hormone signaling pathway - Homo sapiens (human),path:hsa04919,2,122,14.604,0.009628199733149663,0.04479205962813104,True,"MYC, RAD1"
Purine metabolism - Homo sapiens (human),path:hsa00230,2,128,13.905,0.010554994956036791,0.04705768584566403,False,"IMPDH2, PAICS"
