gene,median_effect,mean_effect,min_effect,max_effect,q25_effect,q75_effect,frac_dep_lt_minus05,frac_dep_lt_minus03,n_cell_lines,is_strongly_essential,dep_prob_median,dep_prob_mean,frac_prob_gt_05,aml_mean_tpm_log1p,aml_median_tpm_log1p,rank_score,is_known_aml_target
MYC,-2.217341899871826,-2.216310739517212,-3.137558937072754,-1.4491053819656372,-2.581732392311096,-1.7745797038078308,1.0,1.0,43,True,1.0,0.9991353750228882,1.0,7.967047214508057,7.974989891052246,1.4869367599487306,True
RUVBL1,-1.9004014730453491,-1.8935248851776123,-2.9165453910827637,-0.18737220764160156,-2.220866322517395,-1.5932629108428955,0.9767441860465116,0.9767441860465116,43,True,1.0,0.9765719175338745,0.9767441860465116,6.223042964935303,6.250389099121094,1.3485326822413957,False
CDK7,-1.8457452058792114,-1.9104266166687012,-2.685530424118042,-1.135685920715332,-2.0922425985336304,-1.7303396463394165,1.0,1.0,43,True,1.0,0.9985467791557312,1.0,5.35036563873291,5.329023838043213,1.3382980823516846,False
EIF3B,-1.5750633478164673,-1.5635818243026733,-2.5158474445343018,-0.6322394609451294,-1.7274229526519775,-1.3523944020271301,1.0,1.0,43,True,0.9995574951171875,0.9899037480354309,1.0,7.484774589538574,7.690973281860352,1.2299810886383056,False
BOP1,-1.209976077079773,-1.2073944807052612,-2.3488399982452393,-0.6931414604187012,-1.360442578792572,-0.990391194820404,1.0,1.0,43,True,0.9892077445983887,0.9744976162910461,1.0,5.988197326660156,6.182412147521973,1.082911205291748,False
POLD2,-1.169106364250183,-1.1879963874816895,-1.8451948165893555,-0.8171662092208862,-1.2979655861854553,-1.0668559670448303,1.0,1.0,43,True,0.9903035759925842,0.9850685000419617,1.0,7.3002119064331055,7.485973358154297,1.0666729032993316,False
PSMG3,-1.1833575963974,-1.1641240119934082,-1.7365691661834717,-0.44654470682144165,-1.365624189376831,-0.938496321439743,0.9767441860465116,1.0,43,True,0.9863060712814331,0.954586386680603,0.9767441860465116,5.517646789550781,5.533559799194336,1.0649969015010567,False
RPL36A,-1.2951231002807617,-1.1586211919784546,-2.1219401359558105,-0.19466520845890045,-1.3962568640708923,-0.8621485382318497,0.875,0.875,8,True,0.9794901609420776,0.843995213508606,0.875,10.559675216674805,10.538595199584961,1.0534982562065125,False
NUP155,-1.052782654762268,-1.0375308990478516,-1.4464874267578125,-0.6301994919776917,-1.1789414286613464,-0.8967100381851196,1.0,1.0,43,True,0.9820631742477417,0.9584872126579285,1.0,4.521157264709473,4.416873931884766,1.0193193793296815,False
NOB1,-0.9820953607559204,-0.9717373251914978,-1.4711848497390747,-0.4349766671657562,-1.1355725526809692,-0.8579810261726379,0.9534883720930233,1.0,43,True,0.9783405661582947,0.9220196008682251,0.9302325581395349,5.938166618347168,5.926486968994141,0.9767187125461047,False
WDR70,-1.059736967086792,-1.0038622617721558,-1.5378599166870117,-0.22271564602851868,-1.2002686858177185,-0.8749581277370453,0.875,0.875,8,True,0.9781116247177124,0.8673484325408936,0.875,4.827534198760986,4.848274230957031,0.9592059493064882,False
PAICS,-0.9888437986373901,-0.9647074937820435,-1.894446849822998,-0.1206623986363411,-1.1795978546142578,-0.7210841774940491,0.9069767441860465,0.9534883720930233,43,True,0.9725677967071533,0.8697395324707031,0.9069767441860465,7.578416347503662,7.473964691162109,0.95558499680009,False
UBAP1,-0.8621397614479065,-0.8606698513031006,-1.2905542850494385,-0.559682309627533,-0.9701793193817139,-0.7584514319896698,1.0,1.0,43,True,0.9414783716201782,0.9168773889541626,1.0,4.585625648498535,4.573268890380859,0.9390037417411804,False
ECT2,-0.9485050439834595,-0.967062771320343,-1.7192590236663818,-0.1869666427373886,-1.2675849199295044,-0.7797519266605377,0.8604651162790697,0.9534883720930233,43,True,0.9712586998939514,0.8554731607437134,0.8837209302325582,4.367642879486084,4.255393981933594,0.9253650968851046,False
TAF10,-0.8434749245643616,-0.8408681154251099,-1.251863718032837,-0.35183215141296387,-0.9988038241863251,-0.6991950869560242,0.9534883720930233,1.0,43,True,0.9512066841125488,0.8728214502334595,0.9069767441860465,5.597962856292725,5.8178324699401855,0.9185571498649066,False
RRP15,-0.8150447607040405,-0.844348669052124,-1.3672541379928589,-0.4933624267578125,-0.927488386631012,-0.7247346639633179,0.9767441860465116,1.0,43,True,0.9407932758331299,0.8966882228851318,1.0,3.8713202476501465,3.8139827251434326,0.9131204876788825,False
RAD1,-0.758712112903595,-0.8220953941345215,-1.3900172710418701,-0.3744168281555176,-0.9607511758804321,-0.686090499162674,0.9302325581395349,1.0,43,True,0.9211080074310303,0.8579475283622742,0.9534883720930233,5.055249214172363,5.009552001953125,0.8746654133464016,False
MCL1,-0.8420423269271851,-0.9108171463012695,-1.977875828742981,-0.2519507110118866,-1.1482402682304382,-0.5524393916130066,0.813953488372093,0.9534883720930233,43,True,0.9407107830047607,0.7942944169044495,0.7906976744186046,6.307704925537109,6.215149402618408,0.8657717300015827,True
IMPDH2,-0.7607241868972778,-0.7635022401809692,-1.3804198503494263,-0.2326229065656662,-0.9438735842704773,-0.591375857591629,0.813953488372093,0.9534883720930233,43,True,0.87074875831604,0.7842496037483215,0.8372093023255814,8.043572425842285,7.901451110839844,0.8262482715207478,False
ICE1,-0.7331746816635132,-0.7126641273498535,-1.2214256525039673,-0.11891051381826401,-0.854462057352066,-0.564395010471344,0.813953488372093,0.9767441860465116,43,True,0.9065641164779663,0.7809560298919678,0.8372093023255814,3.6072890758514404,3.713742971420288,0.8234611680341322,False
NPM1,-0.7743494510650635,-0.9105420112609863,-2.1962451934814453,-0.3487747609615326,-0.993514209985733,-0.573196679353714,0.75,1.0,8,True,0.8833277821540833,0.7750409841537476,0.75,11.222190856933594,11.358654022216797,0.8230725586414337,True
MRGBP,-0.6864519119262695,-0.6930392384529114,-1.9282056093215942,0.2887130677700043,-0.8953551352024078,-0.4194827824831009,0.6976744186046512,0.8604651162790697,43,True,0.863398015499115,0.7001935839653015,0.7441860465116279,4.024040222167969,3.987250566482544,0.7423159151576286,False
CCDC86,-0.6405422687530518,-0.6096561551094055,-0.979220986366272,0.051442816853523254,-0.7728906869888306,-0.45232781767845154,0.7209302325581395,0.9302325581395349,43,True,0.8073089122772217,0.6984288096427917,0.7674418604651163,4.6443963050842285,4.572865962982178,0.7392733801242917,False
AHCY,-0.6389831900596619,-0.7053763270378113,-1.4557708501815796,-0.19649946689605713,-0.9364897608757019,-0.47777262330055237,0.6744186046511628,0.9302325581395349,43,True,0.8018947839736938,0.7048563361167908,0.7441860465116279,7.338099002838135,7.289745330810547,0.7241548474444899,False
ZEB2,-0.6951783895492554,-0.7002954483032227,-1.7573710680007935,0.4836309850215912,-0.9837228655815125,-0.4055453687906265,0.6744186046511628,0.8372093023255814,43,True,0.7533811926841736,0.66273033618927,0.6976744186046512,5.588272571563721,5.6888837814331055,0.7231769169485847,False
EXOC3,-0.5727639198303223,-0.6033733487129211,-0.9343122243881226,-0.2621086835861206,-0.7418549954891205,-0.47032126784324646,0.6976744186046512,0.9534883720930233,43,True,0.715660035610199,0.6853710412979126,0.7674418604651163,5.1023969650268555,5.057111740112305,0.7006715714931488,False
KRT8,-0.5878753662109375,-0.5455148816108704,-0.6665128469467163,-0.3236561417579651,-0.6524710804224014,-0.45284176617860794,0.625,1.0,8,True,0.7493642568588257,0.6476136445999146,0.625,3.194838285446167,2.629579544067383,0.6975865721702575,False
DROSHA,-0.6206252574920654,-0.5870593786239624,-0.9526246786117554,-0.14746709167957306,-0.7617947459220886,-0.4182874411344528,0.6046511627906976,0.9069767441860465,43,True,0.7546680569648743,0.6546750664710999,0.6744186046511628,5.732669830322266,5.748673439025879,0.6865076063677322,False
GCSH,-0.5089927315711975,-0.5260005593299866,-1.1650996208190918,-0.17385339736938477,-0.6312050819396973,-0.4020671397447586,0.5116279069767442,0.8604651162790697,43,True,0.5523586869239807,0.5622268915176392,0.6046511627906976,5.516816139221191,5.513250827789307,0.5844143566697143,False
PPP1R14B,-0.4281631410121918,-0.4446117579936981,-0.9935684204101562,-0.06593545526266098,-0.5500831604003906,-0.3342844694852829,0.3023255813953488,0.7906976744186046,43,False,0.46047019958496094,0.4739638864994049,0.4418604651162791,7.208141326904297,7.3112473487854,0.4661494856656984,False
