gene,mean_high,mean_low,log2fc,pvalue,n_high,n_low,padj,rank_padj,rank_fc,meta_rank
SPDEF,0.3698218,0.011586052,4.99624860968614,0.0,1497,3830,0.0,4.0,-3183.0,-3179.0
SAA2,0.65594774,0.024072425,4.7680697440139586,0.0,1497,3830,0.0,4.0,-3179.0,-3175.0
VSTM2L,0.6814153,0.0254791,4.741093618120915,0.0,1497,3830,0.0,4.0,-3178.0,-3174.0
ITPKA,0.33444574,0.010664692,4.97072700593306,3.868930935810047e-291,1497,3830,3.448249178722968e-288,15.0,-3182.0,-3167.0
MET,0.8792487,0.03737075,4.556252921034579,0.0,1497,3830,0.0,4.0,-3171.0,-3167.0
AZGP1,1.1135833,0.04408827,4.658639393483392,3.1885334022452012e-307,1497,3830,5.328437881827012e-304,8.0,-3174.0,-3166.0
IRX2,0.7283344,0.034203216,4.412356935250235,1.2533509982548407e-303,1497,3830,1.6756049495668964e-300,10.0,-3169.0,-3159.0
MUC4,0.27600557,0.012161388,4.50420415657323,1.1465403482690713e-301,1497,3830,1.277341493000768e-298,12.0,-3170.0,-3158.0
ITIH4,0.1809229,0.0034747336,5.701921662246386,2.221636542792968e-252,1497,3830,1.0241744462275581e-249,29.0,-3187.0,-3158.0
EEF1A2,0.224713,0.008547565,4.7162639262879,5.0262026408852094e-260,1497,3830,3.199776338380684e-257,21.0,-3177.0,-3156.0
CMBL,0.71091294,0.03412013,4.380937545162147,1.8121882236258968e-299,1497,3830,1.863626489358047e-296,13.0,-3167.0,-3154.0
C5ORF38,0.6064404,0.030081946,4.333350524379079,2.681881347654659e-297,1497,3830,2.5610051240567952e-294,14.0,-3165.0,-3151.0
SDR16C5,0.6425409,0.03355713,4.259056321465187,1.3278671602093412e-302,1497,3830,1.6138414604398804e-299,11.0,-3161.0,-3150.0
C19ORF33,0.3554062,0.020532485,4.113422469429317,3.494218992754342e-305,1497,3830,5.1904681904592e-302,9.0,-3155.0,-3146.0
AGT,0.23732871,0.009606816,4.626540390235037,3.269049698916797e-237,1497,3830,1.0333723878228703e-234,42.5,-3172.0,-3129.5
NOVA1,0.28595272,0.019943709,3.84170371200252,3.642237968529612e-282,1497,3830,3.043317462579524e-279,16.0,-3142.0,-3126.0
RAC3,0.20474602,0.012091215,4.0816920611435314,9.186181093466397e-249,1497,3830,3.8378142199547586e-246,32.0,-3154.0,-3122.0
PAK3,0.15393433,0.007943077,4.276300963889753,2.9723832891754977e-225,1497,3830,7.49769664018627e-223,53.0,-3163.0,-3110.0
SAA1,1.6236724,0.11994826,3.7587652669707645,1.0486785881605013e-253,1497,3830,5.192512609302867e-251,27.0,-3135.0,-3108.0
GSTO2,0.1489128,0.009398345,3.9857734582655446,1.0986653846972523e-234,1497,3830,3.3381948927312655e-232,44.0,-3152.0,-3108.0
ELOVL6,0.32414198,0.025961405,3.642134406539621,1.2624059260968089e-281,1497,3830,9.927708721169551e-279,17.0,-3124.0,-3107.0
SEZ6L2,0.25901118,0.020116821,3.6864739848499415,2.1203129183959257e-255,1497,3830,1.1338585362414053e-252,25.0,-3129.0,-3104.0
PODNL1,0.2721288,0.021562,3.6576650354910267,1.174761444868689e-258,1497,3830,6.828428589760653e-256,23.0,-3127.0,-3104.0
EPDR1,0.3845546,0.029935736,3.6832033337747094,7.693820581619831e-258,1497,3830,4.2857786398198135e-255,24.0,-3128.0,-3104.0
SYT12,0.12685841,0.0032203177,5.299435832835942,1.1132493668589698e-203,1497,3830,1.7931362392213936e-201,83.0,-3186.0,-3103.0
DCBLD2,0.4861364,0.040284052,3.593047608528312,1.0290908255343748e-271,1497,3830,7.64328624809392e-269,18.0,-3117.0,-3099.0
KCNK1,0.20889491,0.015026136,3.797142226756179,5.2768026304989105e-242,1497,3830,1.7636393591784983e-239,40.0,-3138.0,-3098.0
PITX1,0.1635721,0.010633684,3.9430864990092616,1.3751461653864482e-224,1497,3830,3.342605288191168e-222,55.0,-3148.0,-3093.0
ASPHD1,0.11892503,0.00472363,4.653719354585471,2.3777371306104235e-205,1497,3830,3.973495962391344e-203,80.0,-3173.0,-3093.0
ADIRF,1.0711224,0.08839722,3.598963581488339,8.491181667097673e-254,1497,3830,4.3661002964395685e-251,26.0,-3118.0,-3092.0
