gene,pca_importance
A1BG,0.00056300516
A2M,0.0012909308
A4GALT,0.0005431181
AAAS,0.00042740043
AACS,0.00049878104
AADAT,0.00032961473
AAGAB,0.00049878727
AAK1,0.0013040315
AAMDC,0.0007235976
AAMP,0.00067117193
AAR2,0.00039425236
AARS,0.0004952552
AARS2,0.00037169323
AARSD1,0.00039676402
AASDH,0.0003748476
AASDHPPT,0.0005384486
AATF,0.0006770909
AATK,0.0005570852
ABAT,0.00046956836
ABCA1,0.0015906865
ABCA2,0.00032518967
ABCA3,0.00084631774
ABCA5,0.00031599493
ABCA6,0.00041502443
ABCA7,0.00082066417
ABCB1,0.00045203816
ABCB10,0.00072182843
ABCB4,0.00030876393
ABCB5,5.7006982e-05
ABCB7,0.0006020976
ABCB8,0.00031825408
ABCB9,0.00020482138
ABCC1,0.0005491658
ABCC10,0.0002513698
ABCC3,0.0013694136
ABCC4,0.00059008127
ABCC5,0.00048134135
ABCC6,0.0006020353
ABCC9,0.0005359568
ABCD1,0.00073861604
ABCD3,0.00058250665
ABCD4,0.00037668436
ABCE1,0.00081937166
ABCF1,0.00065269513
ABCF2,0.0005300357
ABCF3,0.00032527506
ABCG1,0.0009927358
ABCG2,0.00090578344
ABHD1,7.229941e-05
ABHD10,0.00041301752
ABHD11,0.00064325595
ABHD12,0.00082308863
ABHD12B,0.00035437386
ABHD13,0.0008506436
ABHD14A,0.00057475327
ABHD14B,0.00079127034
ABHD15,0.00044926646
ABHD16A,0.00095683977
ABHD17A,0.0011063786
ABHD17B,0.0005909711
ABHD17C,0.00060797477
ABHD18,0.00034183564
ABHD2,0.0014358421
ABHD3,0.00066271826
ABHD4,0.00030789926
ABHD5,0.0010605392
ABHD6,0.00037998112
ABHD8,0.00047878324
ABI1,0.0008934823
ABI2,0.00070733484
ABI3,0.00081732986
ABL1,0.000588863
ABL2,0.0009426367
ABLIM1,0.0006474855
ABLIM2,0.00018950089
ABLIM3,0.00042718742
ABO,0.0007860216
ABR,0.0007701424
ABRACL,0.0010409
ABT1,0.00058370683
ABTB1,0.0006912695
ABTB2,0.0002542995
AC002331,0.00034432596
AC004069,0.00034994294
AC004156,4.7831978e-05
AC004381,0.00023690614
AC004540,0.00031058845
AC004951,0.00074558705
AC005224,0.00036461477
AC005301,0.00040669256
AC005363,5.6023204e-05
AC005498,0.00014292466
AC005786,0.000120832934
AC006273,0.0002474611
AC007383,0.00020676412
AC007405,0.00087518094
AC007950,0.00027721454
AC009065,0.00019826664
AC009120,0.00045727615
AC009299,0.00050167134
AC009404,0.000182048
AC009961,0.00028195282
AC010894,0.00016232322
AC011747,0.0001819095
AC012360,0.000334538
AC012368,0.0006113167
AC016549,0.00038344177
AC016700,0.00017966858
AC016831,0.00076461013
AC017002,0.00024294351
AC022007,0.00015705542
AC061992,0.00015259055
AC064834,0.00029150164
AC068282,0.00016423447
AC073283,0.0003781693
AC074183,0.0004426215
AC079922,0.00026541497
AC083843,0.00040111187
AC092580,0.0006738118
AC092835,4.622209e-05
AC093323,0.00046569892
AC093627,0.0004642349
AC093642,7.406373e-05
AC104653,0.00011399582
AC113404,0.00014414867
AC133644,0.00058030826
AC142472,0.00016879175
AC144450,0.000110041095
AC144652,0.00027550312
AC144831,0.0005150224
AC145343,0.00012948194
AC159540,0.00042740643
AC245100,0.00040268962
ACAA1,0.00085492514
ACAA2,0.00088642805
ACACA,0.000700948
ACACB,0.0003141432
ACAD10,0.00036771267
ACAD11,0.0005589784
ACAD8,0.000534353
ACAD9,0.0004281944
ACADM,0.00086202676
ACADS,0.0006046954
ACADSB,0.00044778662
ACADVL,0.0009952128
ACAP1,0.0010341622
ACAP2,0.00141914
ACAP3,0.00057339255
ACAT1,0.0007124435
ACAT2,0.00041205893
ACBD3,0.00085915404
ACBD4,0.0003607092
ACBD5,0.00055072823
ACBD6,0.0006488681
ACCS,0.00044283894
ACD,0.00036612133
ACE,0.00083558814
ACER3,0.0010789871
ACHE,0.0005231905
ACIN1,0.0009351161
ACKR3,0.0005684733
ACKR4,0.0003088572
ACLY,0.0007531763
ACO1,0.0007600897
ACO2,0.00066926924
ACOT11,0.0005000857
ACOT13,0.0007486376
ACOT2,0.0005495946
ACOT4,0.0006773999
ACOT7,0.001067918
ACOT8,0.00043077703
ACOT9,0.0008377907
ACOX1,0.00067456946
ACOX2,0.00042937836
ACOX3,0.0002804689
ACP1,0.0008975435
ACP2,0.00086179347
ACP5,0.001783978
ACP6,0.0002789082
ACPP,0.0008290432
ACRBP,0.00041827603
ACSBG1,0.00024343138
ACSF2,0.00050428143
ACSF3,0.0004786951
ACSL1,0.0016899006
ACSL3,0.0010961436
ACSL4,0.0015149356
ACSL5,0.0005397529
ACSL6,0.00026948514
ACSM1,0.00022517993
ACSM3,0.00045426624
ACSS1,0.00038955273
ACSS2,0.00073285936
ACSS3,0.00043296584
ACTA2,0.0010852953
ACTB,0.0018951959
ACTG1,0.0017863472
ACTL10,0.00012970454
ACTL6A,0.0006133544
ACTN1,0.0012743623
ACTN2,9.115298e-05
ACTN4,0.0011929293
ACTR10,0.0007549866
ACTR1A,0.0006661745
ACTR1B,0.00053729455
ACTR2,0.0017345736
ACTR3,0.0013594069
ACTR3B,0.0005178423
ACTR3C,0.00031853744
ACTR5,0.00024376155
ACTR6,0.00042954416
ACTR8,0.0003027288
ACTRT3,0.0003277795
ACVR1,0.0004126937
ACVR1B,0.0008619525
ACVR1C,0.00013721082
ACVR2A,0.00029916124
ACVR2B,0.00038432993
ACVRL1,0.0011798071
ACY3,0.0006573346
ACYP1,0.0005207992
ACYP2,0.00053802814
ADA,0.00067963963
ADAL,0.00025293254
ADAM10,0.0013943698
ADAM12,0.00048046093
ADAM15,0.0010644102
ADAM17,0.0012364448
ADAM19,0.0003523088
ADAM20,8.505521e-05
ADAM22,0.00018004647
ADAM28,0.0006602562
ADAM8,0.0010323835
ADAM9,0.0010575918
ADAMTS1,0.0005801118
ADAMTS10,0.0002932341
ADAMTS17,0.000119011005
ADAMTS2,0.0007164096
ADAMTS6,0.0004008456
ADAMTSL3,0.00029969396
ADAMTSL4,0.0010104974
ADAP1,0.0010684829
ADAP2,0.0012478833
ADAR,0.0009969075
ADARB1,0.00053390156
ADAT1,0.00037081848
ADAT2,0.000504445
ADAT3,0.00013928188
ADCK1,0.00025815298
ADCK2,0.00051114574
ADCK5,0.00041691313
ADCY1,0.00029403483
ADCY3,0.0004991263
ADCY4,0.00035453218
ADCY6,0.00045192085
ADCY7,0.0010997595
ADCY9,0.00048215425
ADD1,0.0008988736
ADD3,0.0011211052
ADGRA2,0.00065723085
ADGRA3,0.00054518477
ADGRD1,0.00059969793
ADGRE2,0.0016020855
ADGRE5,0.0009526466
ADGRF1,0.00044386476
ADGRF3,8.758812e-05
ADGRF5,0.0013049676
ADGRG1,0.0010973756
ADGRG2,0.00028761075
ADGRG3,0.00037700022
ADGRG5,0.00044718353
ADGRG6,0.0017038002
ADGRL1,0.00040196063
ADGRL2,0.0006211216
ADGRV1,0.0007230674
ADH5,0.00082381314
ADHFE1,0.00021991927
ADI1,0.0010505437
ADIPOR1,0.0010794173
ADIPOR2,0.0007707483
ADIRF,0.0015003472
ADK,0.0009146622
ADM,0.00078043866
ADNP,0.0010088346
ADNP2,0.00069752795
ADO,0.0004176359
ADORA1,0.00033679674
ADORA2B,0.0004883683
ADORA3,0.0005667626
ADPGK,0.001176089
ADPRH,0.00052870775
ADPRHL1,0.00050200574
ADPRHL2,0.0005528797
ADPRM,0.00029862268
ADRA2B,0.00028794105
ADRB2,0.0005256726
ADRM1,0.00096228806
ADSL,0.00070663914
ADSS,0.0008087996
ADSSL1,0.00051095715
ADTRP,0.00086914864
AEBP1,0.0013738498
AEBP2,0.00074391405
AEN,0.00029759764
AF064858,0.00029428783
AF127936,0.00015974387
AFAP1,0.00039867128
AFAP1L2,0.00026330622
AFDN,0.00079015305
AFF1,0.0014021765
AFF3,0.0012270317
AFF4,0.0010635875
AFG3L2,0.0007843064
AFMID,0.00062069535
AFTPH,0.0010086002
AGA,0.0007074598
AGAP1,0.0012060842
AGAP2,0.00031166922
AGAP3,0.0005605358
AGAP4,0.00056173984
AGAP5,0.00022833722
AGAP6,0.00019845199
AGAP9,0.00042335055
AGBL3,0.0001586624
AGBL5,0.0003779847
AGER,0.000261206
AGFG1,0.0017069733
AGFG2,0.0002473972
AGGF1,0.00058779464
AGK,0.00039608972
AGL,0.0005315979
AGMAT,0.00021446391
AGO1,0.0013004579
AGO2,0.0009001079
AGO3,0.0010460987
AGO4,0.0012919921
AGPAT1,0.0005147431
AGPAT2,0.0010985665
AGPAT3,0.00077566865
AGPAT4,0.00045583982
AGPAT5,0.00068582786
AGPS,0.0007434881
AGR2,0.0016147571
AGR3,0.0014368341
AGRN,0.0011387848
AGRP,0.0012097934
AGT,0.000998551
AGTPBP1,0.001589204
AGTRAP,0.0012591147
AHCTF1,0.0012793184
AHCY,0.0009706084
AHCYL1,0.0009825106
AHCYL2,0.0008308341
AHDC1,0.000434115
AHI1,0.0006340423
AHNAK,0.0018624249
AHNAK2,0.000957347
AHR,0.0014344776
AHSA1,0.0013432762
AIDA,0.0007129586
AIF1,0.0022596656
AIF1L,0.000870281
AIFM1,0.0005295024
AIFM2,0.00042696294
AIG1,0.0010279762
AIM2,0.0004806593
AIMP1,0.0009793265
AIMP2,0.00070871337
AIP,0.0007119611
AJUBA,0.000543666
AK1,0.0013120677
AK2,0.0016020145
AK3,0.00080722215
AK4,0.00069336605
AK5,0.00035097497
AK6,0.00060515176
