sample,cells,persister_count,non_persister_count,persister_pct,mean_prob,std_prob,threshold_used,coverage
FH_5238_2,5053,3496,1557,69.18662180882644,0.8008110523223877,0.2077208012342453,0.7865864515304566,995
FH_6333_3,2815,2061,754,73.21492007104796,0.819113552570343,0.23390528559684753,0.7865864515304566,995
AGG_AML_deep_NVS-IC_Batch1-2,30486,25993,4493,85.26208751558092,0.8892305493354797,0.16132263839244843,0.7865864515304566,995
FH_5143_2,8116,7013,1103,86.409561360276,0.8955047130584717,0.15437103807926178,0.7865864515304566,995
FH_6088_2,7373,6557,816,88.93259188932592,0.9085948467254639,0.14663782715797424,0.7865864515304566,995
FH_6088_3,6801,5988,813,88.04587560652845,0.9126665592193604,0.14700676500797272,0.7865864515304566,995
GSM3396161_HEALTHY,2994,1357,1637,45.323981295925186,0.627406120300293,0.3350571393966675,0.7865864515304566,986
GSM3396162_HEALTHY,3293,1224,2069,37.16975402368661,0.6011822819709778,0.30339232087135315,0.7865864515304566,986
GSM3396163_HEALTHY,3556,767,2789,21.569178852643418,0.46221381425857544,0.3200470507144928,0.7865864515304566,986
GSM3396164_HEALTHY,1052,296,756,28.13688212927757,0.5221285820007324,0.3118319809436798,0.7865864515304566,986
GSM3396165_HEALTHY,3136,662,2474,21.10969387755102,0.4498952627182007,0.31824398040771484,0.7865864515304566,986
GSM3396166_HEALTHY,3939,674,3265,17.11094186341711,0.4422023594379425,0.2968548834323883,0.7865864515304566,986
GSM3396167_HEALTHY,3746,1198,2548,31.98077949813134,0.5718569159507751,0.2961447238922119,0.7865864515304566,986
GSM3396168_HEALTHY,4283,1040,3243,24.282045295353726,0.5089751482009888,0.30875375866889954,0.7865864515304566,986
GSM3396169_HEALTHY,4516,825,3691,18.268379096545615,0.4406905472278595,0.3031849265098572,0.7865864515304566,986
GSM3396170_HEALTHY,3446,1351,2095,39.20487521764364,0.6028397679328918,0.3126969635486603,0.7865864515304566,986
GSM3396171_HEALTHY,7247,1499,5748,20.68442113978198,0.4773399233818054,0.3001585602760315,0.7865864515304566,986
GSM3396172_HEALTHY,4548,1763,2785,38.76429199648197,0.6209535002708435,0.2892973721027374,0.7865864515304566,986
GSM3396173_HEALTHY,3964,1088,2876,27.447023208879916,0.5266978740692139,0.314314067363739,0.7865864515304566,986
GSM3396174_HEALTHY,4522,1460,3062,32.28659885006635,0.5712846517562866,0.2948892414569855,0.7865864515304566,986
GSM3396175_HEALTHY,5013,1568,3445,31.278675443845998,0.5727927684783936,0.2937030792236328,0.7865864515304566,986
GSM3396176_HEALTHY,3383,1815,1568,53.65060597103163,0.7031687498092651,0.2966994643211365,0.7865864515304566,986
GSM3396177_HEALTHY,1700,360,1340,21.176470588235293,0.4785076677799225,0.30142104625701904,0.7865864515304566,986
GSM3396178_HEALTHY,3593,812,2781,22.599499025883663,0.5007542967796326,0.30167651176452637,0.7865864515304566,986
GSM3396179_HEALTHY,2437,860,1577,35.28929011079196,0.5743717551231384,0.31826117634773254,0.7865864515304566,986
GSM3396180_HEALTHY,1138,353,785,31.019332161687167,0.577276349067688,0.28525596857070923,0.7865864515304566,986
GSM3396181_HEALTHY,2367,786,1581,33.20659062103929,0.5603635907173157,0.3238723874092102,0.7865864515304566,986
GSM3396182_HEALTHY,4726,1575,3151,33.32628015234871,0.5763521790504456,0.29344239830970764,0.7865864515304566,986
GSM3396183_HEALTHY,4293,1496,2797,34.847426042394595,0.5834168791770935,0.30980709195137024,0.7865864515304566,986
GSM3396184_HEALTHY,4118,1451,2667,35.23555123846528,0.574905514717102,0.3166845738887787,0.7865864515304566,986
GSM3396185_HEALTHY,3643,916,2727,25.144111995608014,0.5282011032104492,0.2963540256023407,0.7865864515304566,986
